Abstract,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martempering is well established as a method by which the stresses and strains generated during the quenching of a steel component may be controlled. In this process the component is held at an intermediate temperature in a salt bath subsequent to the initial cooling from the austenitization temperature, but prior to the final quench to ambient. This allows sufficient time for most of the temperature gradient in the component to be eliminated before the transformation of the austenite to martensite in the final stages of the cooling process. It is essential that the intermediate treatment does not cause decomposition of the austenite by diffusional processes, to form soft transformation products. This limits the time available for the intermediate treatment. Doubts have been raised about the fundamental assumptions on which the process is based, since the absence of a vapour blanket stage in the initial cool in the salt bath produces very high surface heat transfer coefficients at the start of the process, when the material is very soft. It has been the purpose of the present investigation to verify these assumptions by the use of a mathematical model of the stress generation process. In the case of 835M30 steel, 87 seconds at 450°C reduced the temperature gradient in a 15 mm thick plate to 5°C, without producing any diffusional decomposition to soft structures. However, the beneficial effect of this small temperature gradient during the later stages of the process, was negated as far as strain was concerned by the increased distortion that occurred in the very early part of the cooling process in the salt bath. This latter effect was due to the very large surface heat transfer coefficient provided by the quenchant at this stage. The martempering operation, however, did successfully remove the thermal stresses by the time the component reached ambient. Modification of the process to include an oil quench from the salt bath was not beneficial, as the stresses and strains produced at the end of the quench were very similar to those produced by a conventional oil quench from the austenitization temperature. The calculated residual stress and strain distributions were checked against the corresponding experimental values. Agreement was reasonably good, except for a small but uniform discrepancy in the case of the strains. © 1987 Taylor & Francis Group, LLC.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper is the third in a series of publications by Abdel-Malek (1986, InlernationalJournal of Production Research, 24, 1025-1041) and Abdel-Malek and Boucher (1985, International Journal of Production Research, 23, 197-208). It extends the previous work to cover the concept of robotic assembly while conveyor tracking (RACT). Analytical models are developed to aid the application engineers to depict the effect of RACT implementation on the assembly process throughput. The models also help in assessing the susceptibility of the RACT concept to the different design parameters and its economic feasibility. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The application of robots to industrial assembly processes raises issues of robot selection and product design which are just beginning to be addressed in the research literature. This paper describes a framework of analysis which can assist product designers and production engineers in selecting economic combinations of alternative product designs and assembly robots. © 1985 Taylor and Francis Ltd.,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper addresses one of the operational problems associated with the application of robots to industrial systems: the optimum sequencing of robotic task performance. The application of inverse kinematics in determining the sequence that minimizes the cycle time in a robot cell is described. An extension of the Travelling Salesman Algorithm is found to be suitable for obtaining the optimum sequence and cycle time. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a sequel of a paper entitled: 'A framework for the economic evaluation of production system and product design alternatives for robot assembly' (Abdel- Malek and Boucher 1985). The previous work introduced guidelines for the robotic assembly of a 'peg-in-a-hole'. This paper extends the previous work to cover the robotic assembly of parts with general geometries. The paper analyses the effect of the different parameters involved in the robotic assembly process on its feasibility. © 1986 Taylor and Francis Ltd.,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The paper develops an expert systems approach to define appropriate layouts of machining facilities under specific combinations of manufacturing and materials handling systems. The knowledge base incorporates six factors relating product variety and quantity, degrees of flexibility, level of automation, materials handling system, work-in-process and environmental considerations. The EXSYS system program has been used to manipulate the knowledge base. The program operates in tandem mode and interfaces with algorithms to optimize the selection of materials handling equipment, and generate appropriate layouts. Application of the program is illustrated for an existing facility. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The paper indicates the limitations on improved performance arising from physical effort and from information handling and outlines the role of training in improving job performance. Changes in jobs indicate that physical limitations will play less and less part but that other areas of job knowledge will be needed. In particular, the developments in job design may call for radically different areas of training than formerly. © 1971, Taylor & Francis Group, LLC.",1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A model is.proposed for the systematic arrangement of work element times. This model consists of a grouping of all work element times along the time co-ordinate either in groups of equal size or with the time span of each group increasing with the mean time of each group. The statistical properties in analysing work by means of data thus arranged are investigated. A comparison is madewith the sampling error.of.such, data, the observational error, when the error consists of referring the work elements to the wrong group, and the natural variation of the performance time. © Taylor and Francis Group, LLC.",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The accuracy of physiological work studies depends only in part on the measuring instrument itself. If the measurement is performed on work which is insufficiently described, the total accuracy of the measurement is decreased. A proper selection of description variables increases the accuracy of physiological work measurement and makes a fairly general prediction of the energy expenditure possible. A model for prediction of energy expenditure from physical data is proposed and has been tested in a number of industrial cases. The accuracy of the result is of the same order of magnitude as a good work study.© 1967 Taylor & Francis Group, LLC. All rights reserved.",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper presents an approximate method for the analysis of transfer lines composed of unreliable machines linked by an unreliable transportation system carrying a limited number of transportation devices (conveyor carrying pallets, wire guided carts, etc.). We are interested in defining the productivity of the system with regard to the characteristics of the system and, in particular, the number of transportation devices. The result of the study is a formula which gives the productivity of the system according to the transportation devices available and the mean breakdown times of the machines and the transportation system. A comparison is made with simulation results showing the accuracy of the formula at least for the main usual breakdown and working period distributions. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The control of an equipment-intensive production system in the electronics industry is a very complicated task due to the complex process flow, especially the necessity for several loop sequences of the same processes. This paper describes the development of a pattern-recognition-oriented control-decision support system (CDSS) in order to set the best control strategy and an application for a circuit board fabrication system. The CDSS has been designed to be flexible to adapt to a change of market demands. This procedure is based on the state table concept. A combined discrete-event/process-interaction simulation model for the production system has been developed in order to provide basic data for the CDSS. The simulation analysis evaluates the alternatives of the control strategy on the efficiency performances, such as throughput and WIP. © 1988 Taylor & Francis Group, LLC.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The coordination of production and inventory decisions for raw materials, intermediate products and finished goods is important. We compare some decision rules for a ‘firm that uses a single raw material to manufacture n different parts which are then assembled into the final product. Demand for the final product is probabilistic and there are costs of holding inventory and of ordering, manufacture and assembly. These characteristics are an idealization of the problem faced by a manufacturer of scaffolds in which the major processes are the manufacture of different sheet metal parts and their assembly.We develop production rules that use system-wide information. We use simulation to evaluate the performance of these rules and compare system behaviour to that under production rules that are derived separately for each item and use only local information about that item's status. © 1980 Taylor & Francis Group, LLC.",1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Based on the feasible set approach, a location-allocation model is established in this study for oil palm production in Nigeria. This model determines the number, capacities and locations of the processing units and the allocation of the various oil palm products so that the total cost incurred is minimized. The model incorporates a processing unit dropping routine, node creation routine and a forcing technique. With the relevant data collected in Nigeria, cost-minimizing results are obtained using the model, and the robustness of the model is verified by sensitivity analysis. © 1982 Taylor & Francis Group, LLC.",1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Results are presented of experiments with a simulation model of an actual make-for-stock shop, in which both the scheduling and due-date updating decision rules were varied and the effect on a cost function observed. A marked interaction between the rules occurred in some cases. One of the due-date updating rules, which does not appear to have been used previously, had the effect of advancing or retarding the due date of a batch as it passed through the shop in response to the difference between the actual and expected demand for the product. This rule was found to perform well when used in combination with a due-date-based scheduling rule. © 1988 Taylor and Francis Ltd.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A series of experiments is reported in which the demand forecasting method used in a simulation model of an actual make-for-stock shop was varied, and the resulting impact on a cost function observed. The forecasting models employed were all of the multiple exponential smoothing type. Reducing the smoothing constant, i.e. changing the filtering characteristics, was found to lead to statistically significant cost savings across the full range of experimental conditions examined. However, the effect of increasing the order of the forecasting model, i.e. changing the assumption about the nature of the demand time series, was found to be sensitive to the stock-out cost rate used, with both increases and decreases in cost occurring. © 1987 Taylor & Francis Group, LLC.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A simulation model, driven by real order time series, of an actual make-forstock shop is described. A broad spectrum of different sets of decision rules has been incorporated in the model in an attempt to represent as many as possible of the production controls which might be utilized by a production manager. Experiments designed to determine the impact on a production cost function of changes in decision rules can be conducted over a wide range of conditions, with the objective of assessing the robustness of rule changes. To illustrate the use of the model, the results of experiments in two areas of production control are presented. Changing the stock control policy used by the host company to a re-order level policy type was shown to lead to significant improvements in performance across the range of conditions examined, in the case of a low marginal cost of stock review. In experiments with leadtime setting rules, improvements in performance were obtained across the spectrum of experimental conditions when the leadtime distribution was altered to one based on batch work content and number of operations and the tightness of the mean leadtime was simultaneously increased. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this paper we are concerned with a key element for the effective utilization of flexible manufacturing systems (FMS), namely the design of the physical layout. This problem involves finding which processing modules should be adjacent to each other and how they should be connected with the transfer links of the material handling system to minimize the material handling requirements. These requirements also impact on in-process storage space, work-in-process inventories, the cost of control, and throughput time. We first characterize mathematically the static problem where all part attributes are constant over time. We then proceed to analyse the dynamic problem, where changes in system characteristics (such as the part mix manufactured by the FMS), can cause a substantial increase in material handling requirements, thereby indicating a need to consider a relayout. We examine the influence of a number of system parameters on several relayout strategies and derive guidelines for FMS relayout based on a series of experiments with realistic size problems. Our results indicate that a decrease of up to 36% in performance capability occurs for some relayout strategies when compared to the best strategy. Much of this substantial loss in effectiveness can be avoided by minimal, yet timely, machine rearrangement. Our findings can guide decision makers vis-á-vis their own systems where actual system relayout costs can be used. The paper concludes with directions for further research. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The related activity concept in assembly line balancing An assembly operation may he considered to he related to some olxrntionz nnd unrelated to others. The n:lationship can he I, y way of their IwIogin1g81 thv same sulti-sseml, ly. intenh:pt:ndence illam one imother, atc:wkws 1, c.t.- limning q-rxtionsdntetlt o me another are likely to get more job sntisfaction. while management will find i t easier to fix nacountnbility for ilsfccts. Ilesides. tht. dependence of workers on ead1 other r i l l reduce. giving the line dt:signer's greater flexibility in sequencing the workers, so thnt a rn.icty of secondary objectives can be pursued. A decision rule for dloting the work. rallrrl. I in t, lisp pw. This rule nllots 11 sct of'r htcdq wntions tu a wrkw tts tkgaiast the usual operation-by-operatiual lotoient. thereby giving niuch n10r1: Hexihility in sequencing the workers. © 1985 Taylor and Francis Ltd.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper is based on a critical analysis of 27 published case-studies on productivity improvement efforts. First, the paper emphasizes why productivity is important for individual companies, for organizations as well as for nations, and outlines the most commonly used definitions and measures of productivity. Next, the paper attempts to identify all the productivity-related factors mentioned in the case-studies, and puts them under various groups of factors in such a way that each group falls under the general responsibility of one of the traditional functional managers. Further, the paper gives a critical review of commonly used, specialized productivity measures as they exist in the various U.S. industry groups, such as manufacturing, government, service industry, and others. An additional two sections are devoted to the critical assessment of the major contributors to productivity, and to the uncontrollable situations (statesof nature) that can damage productivity efforts. These two sections are followed by a focus on common problems in measuring productivity and on the misdirected efforts of certain companies or organizations. Next, the paper proposed an all-encompassing composite measure of productivity for the benefit of managers, and also outlines a sequence of essential steps that must be accomplished to obtain excellent productivity results from investment in improvement efforts. Finally, the paper underlines those precautions and safeguards without which most productivity efforts can end in futility. This section also outlines a philosophy for productivity personnel, which is—“Productivity improvement is an organic, effort-needing, time-consuming, and ongoing process.”. © 1980 Taylor and Francis Ltd.",1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
